umls_cui,drug_Raw_Name,src_nm,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3
C0521893,Neomycin Palmitate,USAN_TC,Antibiotic,Carbohydrate,
C0027607,Neomycin Sulfate,DailyMed,Antibiotic,Carbohydrate,
C0521894,Neomycin Undecylenate,USAN_TC,Antibiotic,Carbohydrate,
C0282261,Neostigmine Bromide,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0027680,Neostigmine Methylsulfate,DailyMed,Pharmacologic Substance,Organic Chemical,
C2827286,Nepicastat Hydrochloride,USAN_TC,Pharmacologic Substance,,
C2987251,Nesiritide Citrate,PDR,Pharmacologic Substance,,
C0700550,Netilmicin Sulfate,USAN_TC,Antibiotic,Carbohydrate,
C0043319,Xanthinol Niacinate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0063584,Inositol Niacinate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0770150,Nicardipine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0068680,Nickel Carbonyl,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0068688,Nickel Subsulfide,MeSH_PA,Inorganic Chemical,,
C0068689,Nickel Sulfate,ChEBI,Pharmacologic Substance,Hazardous or Poisonous Substance,Inorganic Chemical
C0028042,Nicotine Bitartrate,USAN_TC,Pharmacologic Substance,Hazardous or Poisonous Substance,Organic Chemical
C0068722,Nicotine Polacrilex,DailyMed,Pharmacologic Substance,Organic Chemical,
C0028049,Nicotinic Acids,MeSH_PA,Pharmacologic Substance,Vitamin,Organic Chemical
C3529778,Nintedanib Esylate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0130304,N-(4;4-Diphenyl-3-Butenyl)Nipecotic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2698474,Nisbuterol Mesylate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2347355,Nitrafudam Hydrochloride,USAN_TC,Pharmacologic Substance,,
C0891283,Nitramisole Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0070690,Phenylmercuric Nitrate; Basic,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0051722,Ammonium Nitrate,ChEBI,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical,
C0055117,Cerium Nitrate,MeSH_PA,Pharmacologic Substance,Inorganic Chemical,
C0971446,Ethylammonium Nitrate,ChEBI,Organic Chemical,,
C0301304,Phenylmercuric Nitrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0071772,Potassium Nitrate,ChEBI,Pharmacologic Substance,Inorganic Chemical,
C0072168,Propatyl Nitrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0074748,Sodium Nitrate,ChEBI,Pharmacologic Substance,Inorganic Chemical,
C0002711,Amyl Nitrite,DrugBank,Pharmacologic Substance,Organic Chemical,
C0063915,Isoamyl Nitrite,ChEBI,Organic Chemical,,
C0063927,Isobutyl Nitrite,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0067875,N-Butyl Nitrite,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0037532,Sodium Nitrite,MeSH_PA,Pharmacologic Substance,Inorganic Chemical,
C0028160,Nitrogen Dioxide,MeSH_PA,Hazardous or Poisonous Substance,Inorganic Chemical,
C0919388,Nitromifene Citrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0037533,Sodium Nitroprusside,DailyMed,Pharmacologic Substance,Organic Chemical,
C0132621,Nivimedone Sodium,USAN_TC,Organic Chemical,,
C0132749,Nomegestrol Acetate,USAN_TC,Pharmacologic Substance,Hormone,Steroid
C0877847,Nomifensine Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0028333,Norepinephrine Bitartrate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0068980,Norethindrone Acetate,DailyMed,Pharmacologic Substance,Hormone,Steroid
C0068981,Norethindrone Enanthate,MeSH_PA,Pharmacologic Substance,Hormone,Steroid
C0700459,Nortriptyline Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0282265,Novobiocin Sodium,USAN_TC,Antibiotic,Carbohydrate,
C0074749,Sodium Nucleinate,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C1831948,Obatoclax Mesylate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0028757,Obidoxime Chloride,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2698645,Ocfentanil Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0050238,9-Hydroperoxy-11;12-Octadecadienoic Acid,MeSH_PA,Pharmacologic Substance,Lipid,
C0095700,3-Methyl-2-(3-Pyridyl)-1-Indoleoctanoic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0955566,Octenidine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2825364,Octenidine Saccharin,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0724649,Octreotide Acetate,USAN_TC,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0338271,Octreotide Pamoate,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0059699,Ethanolamine Oleate,DrugBank,Pharmacologic Substance,Organic Chemical,
C0059779,Ethyl Oleate,USAN_TC,Pharmacologic Substance,Lipid,
C0386393,Olmesartan Medoxomil,DailyMed,Pharmacologic Substance,Organic Chemical,
C0771892,Olopatadine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0353940,Olsalazine Sodium,ChEBI,Pharmacologic Substance,Organic Chemical,
C0771765,Omeprazole Magnesium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0771315,Omeprazole Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2825720,Omtriptolide Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282270,Opipramol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2983854,Orconazole Nitrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C3492240,Ornithine Phenylacetate,USAN_TC,Biologically Active Substance,Amino Acid; Peptide; or Protein,
C0029310,Orphenadrine Citrate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0699481,Orphenadrine Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C2983800,Orvepitant Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0147421,Osaterone Acetate,MeSH_PA,Pharmacologic Substance,Steroid,
C0872908,Oseltamivir Phosphate,PDR,Pharmacologic Substance,Organic Chemical,
C0069670,Osmium Zinc Iodide,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical,
C2827297,Otenabant Hydrochloride,USAN_TC,Pharmacologic Substance,,
C0037536,Oxacillin Sodium,USAN_TC,Antibiotic,Organic Chemical,
C0952171,Oxamarin Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0957394,Oxamisole Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0163908,Oxantel Pamoate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0134351,Oxetorone Fumarate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0142160,Oxiconazole Nitrate,PDR,Pharmacologic Substance,Organic Chemical,
C3268245,Oxidronate Disodium,USAN_TC,Organic Chemical,,
C1882239,Oxifungin Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1882241,Oximonam Sodium,USAN_TC,Antibiotic,Organic Chemical,
C0700460,Oxprenolol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0037537,Sodium Oxybate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0134394,Oxybutynin Chloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0724657,Oxychlorosene Sodium,PDR,Pharmacologic Substance,Organic Chemical,
C0282274,Oxycodone Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0606954,Oxycodone Terephthalate,PDR,Pharmacologic Substance,Organic Chemical,
C0074565,Singlet Oxygen,MeSH_PA,Biologically Active Substance,Element; Ion; or Isotope,
C0357797,Oxymetazoline Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0282275,Oxymorphone Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0030080,Oxyphenisatin Acetate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0086760,Oxyquinoline Sulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1384247,Potassium Oxyquinoline Sulfate,NDFRT,Pharmacologic Substance,Organic Chemical,
C0282277,Oxytetracycline Calcium,USAN_TC,Antibiotic,Organic Chemical,
C0017449,Oxytetracycline Hydrochloride,USAN_TC,Antibiotic,Organic Chemical,
C1702776,Paclitaxel Poliglumex,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1998187,Pafuramidine Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2719626,Paliperidone Palmitate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0064058,Isopropyl Palmitate,USAN_TC,Pharmacologic Substance,Lipid,
C1882273,Palmoxirate Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1310734,Palonosetron Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0356588,Pamidronate Disodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0030311,Pancuronium Bromide,ChEBI,Pharmacologic Substance,Steroid,
C0795650,Pantoprazole Sodium,ChEBI,Pharmacologic Substance,Organic Chemical,
C0006710,Calcium Pantothenate,NDFRT,Pharmacologic Substance,Vitamin,Amino Acid; Peptide; or Protein
C0700461,Papaverine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0054564,Camphorated Parachlorophenol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0070073,Paramethasone Acetate,USAN_TC,Pharmacologic Substance,Hormone,Steroid
C1882284,Paranyline Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0070076,Parapenzolate Bromide,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2981343,Pararosaniline Pamoate,USAN_TC,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0025709,Methyl Parathion,MeSH_PA,Hazardous or Poisonous Substance,Organophosphorus Compound,
C1882289,Parconazole Hydrochloride,USAN_TC,Pharmacologic Substance,,
C2825444,Pardoprunox Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0915144,Parecoxib Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282289,Pargyline Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0205881,Paromomycin Sulfate,ChEBI,Antibiotic,Carbohydrate,
C0771019,Paroxetine Hydrochloride,PDR,Pharmacologic Substance,Organic Chemical,
C0886644,Paroxetine Maleate,ChEBI,Pharmacologic Substance,Organic Chemical,
C1882305,Pazopanib Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0877836,Pefloxacin Mesylate,ChEBI,Pharmacologic Substance,Organic Chemical,
C1576729,Pegaptanib Sodium,DailyMed,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C3281388,Peginesatide Acetate,ChEBI,Pharmacologic Substance,,
C2698754,Pelanserin Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2983940,Pelrinone Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2825699,Pemerid Nitrate,USAN_TC,Pharmacologic Substance,,
C0936142,Pemetrexed Disodium,ChEBI,Pharmacologic Substance,Organic Chemical,
C0872971,Pemirolast Potassium,DailyMed,Pharmacologic Substance,Organic Chemical,
C0282292,Penbutolol Sulfate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0892839,Penciclovir Sodium,USAN_TC,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0030858,Pentaerythritol Tetranitrate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0070281,Pentafluorobenzoyl Chloride,ChEBI,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0030864,Pentamidine Isethionate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0770470,Pentapiperium Methylsulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0355587,Pentazocine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0700554,Pentazocine Lactate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0520458,Pentetate Calcium Trisodium,DailyMed,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Organic Chemical
C1337329,Pentetate Zinc Trisodium,DailyMed,Pharmacologic Substance,Organic Chemical,
C0700349,Pentobarbital Sodium,DailyMed,Pharmacologic Substance,Organic Chemical,
C0030886,Pentolinium Tartrate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0524684,Pentosan Polysulfate Sodium,DailyMed,Pharmacologic Substance,Carbohydrate,
C0135982,Peplomycin Sulfate,USAN_TC,Antibiotic,Amino Acid; Peptide; or Protein,
C0031008,Pergolide Mesylate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0070413,Perhexiline Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0244718,Perindopril Erbumine,PDR,Pharmacologic Substance,Organic Chemical,
C0032838,Potassium Permanganate,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical,
C0005088,Benzoyl Peroxide,DailyMed,Pharmacologic Substance,Organic Chemical,
C0108342,Carbamide Peroxide,DailyMed,Pharmacologic Substance,Organic Chemical,
C0020281,Hydrogen Peroxide,DailyMed,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical
C0754156,Pexiganan Acetate,USAN_TC,Biologically Active Substance,Amino Acid; Peptide; or Protein,
C0700555,Phenazopyridine Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C2698792,Phenbutazone Sodium Glycerate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282301,Phencyclidine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0148932,Phendimetrazine Tartrate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0031393,Phenelzine Sulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0700556,Phenmetrazine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282303,Phenobarbital Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0887687,Phenolate Sodium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0060621,Folin's Phenol Reagent,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical,
C0242430,Phenoxybenzamine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0282304,Phentermine Hydrochloride,PDR,Pharmacologic Substance,Organic Chemical,
C0733398,Phentolamine Mesylate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0142910,Sodium Phenylacetate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0718066,Phenylbutyrate Sodium,NDFRT,Pharmacologic Substance,Organic Chemical,
C0031470,Phenylephrine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0011782,Phenylpropanolamine Hydrochloride,NDFRT,Pharmacologic Substance,Organic Chemical,
C0771201,Phenylpropanolamine Polistirex,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2827299,Phenyramidol Hydrochloride,USAN_TC,Pharmacologic Substance,,
C0237417,Phenytoin Sodium,DailyMed,Pharmacologic Substance,Organic Chemical,
C0031586,Phorbol Esters,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C1509450,Potassium Metaphosphate,USAN_TC,Pharmacologic Substance,Inorganic Chemical,
C0071778,Potassium Phosphate,MeSH_PA,Pharmacologic Substance,Inorganic Chemical,
C0138037,Potassium Phosphate; Dibasic,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C0138038,Potassium Phosphate; Monobasic,PDR,Pharmacologic Substance,Inorganic Chemical,
C0074757,Sodium Phosphate,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C0772024,Sodium Phosphate; Dibasic,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C0006711,Calcium Phosphate,NDFRT,Pharmacologic Substance,Inorganic Chemical,
C0065527,Magnesium Phosphate,USAN_TC,Pharmacologic Substance,Inorganic Chemical,
C0126784,Magnesium Phosphate; Dibasic,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C0054293,Butylbenzyl Phthalate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0012052,Dibutyl Phthalate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0057934,Diethyl Phthalate,USAN_TC,Organic Chemical,,
C0012197,Diethylhexyl Phthalate,MeSH_PA,Pharmacologic Substance,Biomedical or Dental Material,Organic Chemical
C0058224,Dimethyl Phthalate,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0081549,Aluminum Phthalocyanine Disulfonate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0055390,Chloroaluminum Phthalocyanine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0071001,Physostigmine Heptyl,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0071002,Physostigmine Salicylate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0357701,Physostigmine Sulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2347512,Piboserod Hydrochloride,USAN_TC,Pharmacologic Substance,,
C2347514,Pibrozelesin Hydrobromide,USAN_TC,Pharmacologic Substance,,
C2698802,Picenadol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0385779,Picumeterol Fumarate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0770456,Pilocarpine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0351975,Pilocarpine Nitrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282773,Pimagedine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2607621,Pimavanserin Tartrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2698814,Pinoxepin Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0872972,Pioglitazone Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0206049,Pipecuronium Bromide,USAN_TC,Pharmacologic Substance,Steroid,
C0700463,Piperacillin Sodium,PDR,Antibiotic,Organic Chemical,
C1882385,Piperamide Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1145666,Piperazine Citrate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0770895,Pipotiazine Palmitate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0088224,Pirandamine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2698820,Pirazmonam Sodium,USAN_TC,Antibiotic,Organic Chemical,
C2698821,Pirbenicillin Sodium,USAN_TC,Antibiotic,Organic Chemical,
C0724666,Pirbuterol Acetate,DailyMed,Pharmacologic Substance,Organic Chemical,
C2698822,Pirbuterol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0770946,Pirenzepine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2698823,Piridicillin Sodium,USAN_TC,Antibiotic,Organic Chemical,
C0957460,Piridronate Sodium,USAN_TC,Organophosphorus Compound,,
C0071138,Pirimiphos Methyl,MeSH_PA,Pharmacologic Substance,Organophosphorus Compound,
C1882396,Piriprost Potassium,USAN_TC,Pharmacologic Substance,,
C1522061,Piritrexim Isethionate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0521904,Pirlimycin Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2825679,Pirmenol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0071145,Piroctone Olamine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0953133,Pirogliride Tartrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2347520,Piroxantrone Hydrochloride,USAN_TC,Pharmacologic Substance,,
C0071149,Piroxicam Cinnamate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1882397,Piroxicam Olamine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1882399,Pirtenidine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C2720023,Pitavastatin Calcium,ChEBI,Pharmacologic Substance,Organic Chemical,
C0085884,Pivampicillin Hydrochloride,USAN_TC,Antibiotic,Organic Chemical,
C2347522,Pivampicillin Pamoate,USAN_TC,Pharmacologic Substance,,
C0605353,Pivampicillin Probenate,USAN_TC,Antibiotic,Organic Chemical,
C2826149,Pixantrone Dimaleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0069247,O-Deacetyl Platelet Activating Factor,MeSH_PA,Pharmacologic Substance,Lipid,
C0071262,Platinum Ethylenediamine Dichloride,MeSH_PA,Organic Chemical,,
C0088016,1;2-Diaminocyclohexaneplatinum Ii Citrate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0057715,Diamminedichlorodihydroxyplatinum Iv,MeSH_PA,Pharmacologic Substance,Inorganic Chemical,
C0057840,Dichloro-1;2-Diaminocyclohexane Platinum Complex,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C3272845,Plovamer Acetate,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0285491,Pobilukast Edamine,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1509638,Polacrilin Potassium,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0071325,Poldine Methylsulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0071554,Polyestradiol Phosphate,MeSH_PA,Pharmacologic Substance,Hormone,Steroid
C0164247,Polyetherurethane Urea,MeSH_PA,Organic Chemical,,
C0287527,Polyethylene Oxide-Polybutylene Terephthalate Copolymer,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0066763,Monomethoxypolyethylene Glycol,MeSH_PA,Organic Chemical,,
C0724672,Polyethylene Glycol 3350,DailyMed,Pharmacologic Substance,Organic Chemical,
C0033997,Pteroylpolyglutamic Acids,MeSH_PA,Vitamin,Organic Chemical,
C0001714,Polymyxin B Sulfate,PDR,Antibiotic,Amino Acid; Peptide; or Protein,
C1121677,Polyoxypropylene 15 Stearyl Ether,USAN_TC,Organic Chemical,,
C0137904,Polystyrene Sulfonate,DrugBank,Organic Chemical,,
C0142915,Sodium Polystyrene Sulfonate,DailyMed,Pharmacologic Substance,Organic Chemical,
C0071696,Polyurethane Foam,USAN_TC,Organic Chemical,,
C0071702,Polyvinyl Alcohol Formaldehyde Foam,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2981174,Ponatinib Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1130428,Porfimer Sodium,ChEBI,Pharmacologic Substance,Organic Chemical,
C0137984,Potassium Acetate,ChEBI,Pharmacologic Substance,Organic Chemical,
C0727538,Potassium Bitartrate,NDFRT,Pharmacologic Substance,Organic Chemical,
C0071753,Potassium Bromate,ChEBI,Hazardous or Poisonous Substance,Inorganic Chemical,
C0032825,Potassium Chloride,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C0301527,Potassium Gluconate,NDFRT,Pharmacologic Substance,Organic Chemical,
C0071767,Potassium Hydroxide,MeSH_PA,Pharmacologic Substance,Indicator; Reagent; or Diagnostic Aid,Inorganic Chemical
C0032841,Potassium Sorbate,USAN_TC,Pharmacologic Substance,Lipid,
C0071780,Potassium Sulfate,DailyMed,Pharmacologic Substance,Inorganic Chemical,
C2825240,Pozanicline Tartrate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1566740,Pradefovir Mesylate,USAN_TC,Pharmacologic Substance,Organophosphorus Compound,
C0139449,Pralidoxime Chloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0138210,Pralidoxime Iodide,ChEBI,Pharmacologic Substance,Organic Chemical,
C0138211,Pralidoxime Mesylate,ChEBI,Pharmacologic Substance,Organic Chemical,
C2698865,Pralmorelin Dihydrochloride,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0772054,Pramipexole Dihydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0956068,Pramiracetam Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0956067,Pramiracetam Sulfate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1174779,Pramlintide Acetate,DailyMed,Pharmacologic Substance,Hormone,Amino Acid; Peptide; or Protein
C0147008,Pramoxine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0894272,Pranolium Chloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0209364,Pravadoline Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0700474,Pravastatin Sodium,ChEBI,Pharmacologic Substance,Organic Chemical,
C3273583,Prazarelix Acetate,USAN_TC,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0700578,Prazosin Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0071839,Prednisolone Acetate,DailyMed,Pharmacologic Substance,Steroid,
C0071840,Prednisolone Hemisuccinate,MeSH_PA,Pharmacologic Substance,Steroid,
C0071842,Prednisolone Phosphate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0138273,Prednisolone Sodium Phosphate,PDR,Pharmacologic Substance,Steroid,
C0138274,Prednisolone Sodium Succinate,USAN_TC,Pharmacologic Substance,Steroid,
C0071844,Prednisolone Tebutate,USAN_TC,Pharmacologic Substance,Steroid,
C0771291,Pregnenolone Succinate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0886985,Prenalterol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C3256803,Prezatide Copper Acetate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0008846,Prilocaine Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0033128,Primaquine Phosphate,DailyMed,Pharmacologic Substance,Organic Chemical,
C2347680,Prinomide Tromethamine,USAN_TC,Pharmacologic Substance,,
C2347684,Prizidilol Hydrochloride,USAN_TC,Pharmacologic Substance,,
C0917835,Proadifen Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C1882465,Probicromil Calcium,USAN_TC,Pharmacologic Substance,,
C0600311,Procainamide Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0358490,Procaine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0205909,Procarbazine Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0162685,Procaterol Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0033231,Prochlorperazine Maleate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0208007,Procion Orange Mx-2r,ChEBI,Pharmacologic Substance,Organic Chemical,
C0546874,Procyclidine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0138525,Progabide Acid,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0207224,Alcoholic Prolamine Solution,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0771021,Prolintane Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0546875,Promazine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0546876,Promethazine Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0700465,Propafenone Hydrochloride,ChEBI,Pharmacologic Substance,Organic Chemical,
C0072160,Propamidine Isethionate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0033448,Propantheline Bromide,DailyMed,Pharmacologic Substance,Organic Chemical,
C0740235,Proparacaine Hydrochloride,DailyMed,Pharmacologic Substance,Organic Chemical,
C0142916,Sodium Propionate,USAN_TC,Pharmacologic Substance,Organic Chemical,
C0282320,Propoxycaine Hydrochloride,USAN_TC,Pharmacologic Substance,Organic Chemical,
