und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0040517,Gilles De La Tourette Syndrome,Mental or Behavioral Dysfunction
C0234868,Involuntary Vocalization,Sign or Symptom
C0278076,Behavioral Tic,Mental or Behavioral Dysfunction
C0151942,Arterial Thrombosis,Disease or Syndrome
C0549626,Clotting Increased,Finding
C0356764,Catheter Patency Solutions,Pharmacologic Substance
C0274416,Complication Of Dialysis,Pathologic Function
C0012739,Disseminated Intravascular Coagulation,Disease or Syndrome
C0232338,Blood Flow,Organism Function
C0564750,Peripheral Arterial Embolism,Pathologic Function
C0034065,Pulmonary Embolism,Disease or Syndrome
C0042487,Venous Thrombosis,Pathologic Function
C0005684,Malignant Neoplasm Of Urinary Bladder,Neoplastic Process
C0017127,Gastric Emptying,Organ or Tissue Function
C0022408,Arthropathy,Disease or Syndrome
C0019940,Horse Diseases,Disease or Syndrome
C0039103,Synovitis,Disease or Syndrome
C0085580,Essential Hypertension,Disease or Syndrome
C2066455,Narcotic Antitussives,Pharmacologic Substance
C0238634,Anal Inflammation,Finding
C1394254,Cryptitis,Disease or Syndrome
C0015230,Exanthema,Disease or Syndrome
C0019112,Hemorrhoids,Acquired Abnormality
C2937222,Chronic Ulcerative Proctitis,Disease or Syndrome
C0033246,Proctitis,Disease or Syndrome
C0033775,Pruritus Ani,Sign or Symptom
C0033777,Pruritus Of Genital Organs,Sign or Symptom
C0033778,Pruritus Vulvae,Sign or Symptom
C0400827,Radiation Proctitis,Pathologic Function
C2919828,Chronic Ulcerative Colitis,Disease or Syndrome
C0687707,Anorectal Disorder,Disease or Syndrome
C2930826,Acute Malaria,Disease or Syndrome
C0024138,Lupus Erythematosus; Discoid,Disease or Syndrome
C0858318,Plasmodium Falciparum Infection,Disease or Syndrome
C0858319,Plasmodium Malariae Infection,Disease or Syndrome
C0858320,Plasmodium Ovale Infection,Disease or Syndrome
C0858321,Plasmodium Vivax Infection,Disease or Syndrome
C0343922,Cutaneous Blastomycosis,Disease or Syndrome
C1864820,Nonprogressive,Finding
C1704806,Coating Excipient,Biomedical or Dental Material
C0024301,Lymphoma; Follicular,Neoplastic Process
C0079747,Low Grade Lymphoma (Neoplasm),Neoplastic Process
C1149485,Growth Hormone-Releasing Hormone Activity,Molecular Function
C1149110,Bradykinin Receptor Activity,Molecular Function
C2936235,Peptidomimetics,Pharmacologic Substance
C0020557,Hypertriglyceridemia,Finding
C0270549,Generalized Anxiety Disorder,Mental or Behavioral Dysfunction
C0005699,Blast Phase,Neoplastic Process
C0023472,Leukemia; Myeloid; Accelerated Phase,Neoplastic Process
C0023473,Myeloid Leukemia; Chronic,Neoplastic Process
C0004576,Babesiosis,Disease or Syndrome
C0862889,Superficial Basal Cell Carcinoma,Neoplastic Process
C0020459,Hyperinsulinism,Disease or Syndrome
C0596402,Cytotoxicity,Cell or Molecular Dysfunction
C0011854,Diabetes Mellitus; Insulin-Dependent,Disease or Syndrome
C0935929,Antidiabetics,Pharmacologic Substance
C0860160,Diabetes Mellitus Inadequate Control,Disease or Syndrome
C0342299,Poor Glycemic Control,Pathologic Function
C2748055,Hypoinsulinaemia,Disease or Syndrome
C0304870,Insulin; Long-Acting,Pharmacologic Substance
C0304869,Intermediate-Acting Insulin,Pharmacologic Substance
C0356365,Insulin; Short-Acting,Pharmacologic Substance
C0009361,Colloids,Biomedical or Dental Material
C0015667,Fat Emulsions; Intravenous,Pharmacologic Substance
C1441129,Radioactive Iodine,Pharmacologic Substance
C0445204,Preoperative,Temporal Concept
C0040156,Thyrotoxicosis,Disease or Syndrome
C0023223,Leg Ulcer,Disease or Syndrome
C0034530,Radiation Injury,Injury or Poisoning
C0038034,Sporotrichosis,Disease or Syndrome
C0038160,Staphylococcal Infections,Disease or Syndrome
C0038941,Surgical Wound Infection,Pathologic Function
C0043246,Laceration,Injury or Poisoning
C0043253,Nonpenetrating Wounds,Injury or Poisoning
C0342927,Dietary Iodine Deficiency,Pathologic Function
C0004615,Bacterial Infections And Mycoses,Disease or Syndrome
C1522577,Follow-Up,Health Care Activity
C0221098,Acute Abdominal Complaint,Sign or Symptom
C0016977,Gall Bladder Diseases,Disease or Syndrome
C0005395,Bile Duct Diseases,Disease or Syndrome
C2029455,Computed Tomography Of Head: Contrast Enhancement,Diagnostic Procedure
C0852949,Arteriopathic Disease,Disease or Syndrome
C0005686,Urinary Bladder Diseases,Disease or Syndrome
C0848309,Rhinitis Perennial,Disease or Syndrome
C0699790,Colon Carcinoma,Neoplastic Process
C0009402,Colorectal Carcinoma,Neoplastic Process
C1384494,Metastatic Carcinoma,Neoplastic Process
C0861772,Stage Iv Rectal Carcinoma,Neoplastic Process
C1156284,Regulation Of Ph,Organism Function
C0002884,Hypochromic Anemia,Disease or Syndrome
C0240066,Iron Deficiency,Disease or Syndrome
C0162316,Iron Deficiency Anemia,Disease or Syndrome
C0239574,Low Grade Fever,Finding
C1366395,Anemia; Megaloblastic; Nutritional,Disease or Syndrome
C0010674,Cystic Fibrosis,Disease or Syndrome
C1151531,L-Ascorbate Peroxidase Activity,Molecular Function
C1956346,Coronary Artery Disease,Disease or Syndrome
C0027051,Myocardial Infarction,Disease or Syndrome
C1151647,Aldehyde Dehydrogenase (Nad+) Activity,Molecular Function
C1622129,Kinesin Activity,Molecular Function
C0339164,Seasonal Allergic Conjunctivitis,Disease or Syndrome
C0677500,Stinging Sensation,Sign or Symptom
C1274010,Surgical Ocular Refractive Procedure,Therapeutic or Preventive Procedure
C0011175,Dehydration,Disease or Syndrome
C1325327,Fibrinogen Activity,Molecular Function
C0007570,Celiac Disease,Disease or Syndrome
C0021390,Inflammatory Bowel Diseases,Disease or Syndrome
C0009187,Coccidiosis,Disease or Syndrome
C0276796,Disease Due To Eimeria,Disease or Syndrome
C1113685,Cardiovascular Disorder Risk,Finding
C0018626,Hazardous Substances,Hazardous or Poisonous Substance
C2611224,Prolactin Secretion,Cell Function
C0524851,Neurodegenerative Disorders,Disease or Syndrome
C0037929,Spinal Cord Injuries,Injury or Poisoning
C0002963,Angina Pectoris; Variant,Disease or Syndrome
C1517283,Folic Acid Metabolism Inhibition,Physiologic Function
C0040165,Thyroxine,Pharmacologic Substance
C0020676,Hypothyroidism,Disease or Syndrome
C0155626,Acute Myocardial Infarction,Disease or Syndrome
C0016167,Anal Fissure,Acquired Abnormality
C0016927,Gagging,Finding
C2014090,Inflammation Of Oropharynx,Finding
C1517874,Life Threatening Adverse Event,Finding
C1396135,Eczema; Pruritic,Disease or Syndrome
C0234233,Sore To Touch,Sign or Symptom
C0242973,Ventricular Dysfunction,Pathologic Function
C0401149,Chronic Constipation,Sign or Symptom
C1868889,Irritable Bowel Syndrome Characterized By Constipation,Disease or Syndrome
C0027145,Myxedema,Disease or Syndrome
C0920350,Autoimmune Thyroiditis,Disease or Syndrome
C2242456,Thyroid Function,Physiologic Function
C0041014,Triiodothyronine,Pharmacologic Substance
C1263846,Attention Deficit Hyperactivity Disorder,Mental or Behavioral Dysfunction
C0948033,Bile Output Decreased,Finding
C0000744,Abetalipoproteinemia,Disease or Syndrome
C1546673,Drainage; Ileostomy,Intellectual Product
C0016204,Flatulence,Sign or Symptom
C1152735,Dopamine D2 Receptor Activity,Molecular Function
C0595940,Burns And Wounds,Finding
C0332687,Second Degree Burn,Injury or Poisoning
C0433445,Third Degree Burn,Injury or Poisoning
C0024473,Magnesium Deficiency,Disease or Syndrome
C1372027,Digestive Alteration,Pathologic Function
C0546165,Absorbent Drug,Pharmacologic Substance
C0013537,Eclampsia,Disease or Syndrome
C0156672,Severe Pre-Eclampsia; Antepartum Condition Or Complication,Disease or Syndrome
C0268733,Acute Nephritis,Disease or Syndrome
C2826244,Life Threatening,Finding
C0156677,Eclampsia In Pregnancy,Pathologic Function
C0151723,Hypomagnesemia,Finding
C0032914,Pre-Eclampsia,Pathologic Function
C0866323,Severe Toxemia,Disease or Syndrome
C1406908,Tetany; Uterine Contractions,Pathologic Function
C0040479,Torsades De Pointes,Disease or Syndrome
C0042510,Ventricular Fibrillation,Disease or Syndrome
C0268090,Manganese Deficiency,Disease or Syndrome
C0003962,Ascites,Finding
C0013608,Edema; Cardiac,Disease or Syndrome
C0740394,Hyperuricemia,Disease or Syndrome
C0022660,Kidney Failure; Acute,Disease or Syndrome
C0033575,Prostatic Diseases,Disease or Syndrome
C0034063,Pulmonary Edema,Disease or Syndrome
C0011581,Depressive Disorder,Mental or Behavioral Dysfunction
C0282126,Depression; Neurotic,Mental or Behavioral Dysfunction
C0013415,Dysthymic Disorder,Mental or Behavioral Dysfunction
C0020540,Malignant Hypertension,Disease or Syndrome
C1149472,Growth Factor Activity,Molecular Function
C0028165,Nitrogen Mustard Compounds,Pharmacologic Substance
C0042571,Vertigo,Sign or Symptom
C0042594,Vestibular Diseases,Disease or Syndrome
C0730350,Abnormal Uterine Bleeding; Unspecified,Pathologic Function
C3263685,Hormone Abnormality,Finding
C0014173,Endometrial Hyperplasia,Disease or Syndrome
C0205187,Inoperable,Qualitative Concept
C0813148,Metastatic Endometrial Carcinoma,Neoplastic Process
C1378703,Renal Carcinoma,Neoplastic Process
C0232940,Secondary Physiologic Amenorrhea,Disease or Syndrome
C1262153,Injectable Contraception,Therapeutic or Preventive Procedure
C1167661,Cerebral Vasoconstriction,Pathologic Function
C0003123,Anorexia,Disease or Syndrome
C1828173,Unexplained Weight Loss,Finding
C0678222,Breast Carcinoma,Neoplastic Process
C0006625,Cachexia,Sign or Symptom
C0476089,Endometrial Carcinoma,Neoplastic Process
C2939420,Metastatic Neoplasm,Neoplastic Process
C0232462,Decrease In Appetite,Sign or Symptom
C1333303,Aids-Related Disorder,Disease or Syndrome
C1301639,Pain During Labor And Delivery,Sign or Symptom
C1321908,Desire For Urination,Finding
C0004099,Asthma; Exercise-Induced,Disease or Syndrome
C3273895,Biguanide Antidiabetic Agent,Chemical Viewed Functionally
C0729524,Bacterial Urinary Infection,Disease or Syndrome
C0020546,Hypertensive Crisis,Disease or Syndrome
C2112765,Postpartum Atony Of Uterus,Disease or Syndrome
C2036788,Subinvolution Of Uterus As Postpartum Condition; Delivered During Current Episode,Disease or Syndrome
C0569377,Opioid Analgesic Adverse Reaction,Injury or Poisoning
C0038317,Steroids,Steroid
C0042376,Vascular Headaches,Disease or Syndrome
C0009953,Convulsive Therapy,Therapeutic or Preventive Procedure
C0039614,Tetanus,Disease or Syndrome
C0040921,Trichomonas Infections,Disease or Syndrome
C1400195,Pituitary; Impaired Function,Disease or Syndrome
C1405994,Chafing,Disease or Syndrome
C0011636,Dermatophytosis,Disease or Syndrome
C0221245,Fissure In Skin,Finding
C0237849,Peeling Of Skin,Finding
C0042256,Pruritus Of Vagina,Sign or Symptom
C0860029,Vaginal Yeast Infection,Disease or Syndrome
C0002622,Amnesia,Mental or Behavioral Dysfunction
C0430022,Diagnostic Procedure,Diagnostic Procedure
C0282493,Surgical Endoscopy,Diagnostic Procedure
C0002986,Fabry Disease,Disease or Syndrome
C0497327,Dementia,Mental or Behavioral Dysfunction
C1168255,Ancylostoma Caninum Infection,Disease or Syndrome
C0012602,Dirofilariasis,Disease or Syndrome
C0277470,Infestation by Otodectes cynotis,Disease or Syndrome
C0019911,Hookworm Infections,Disease or Syndrome
C0277158,Infection By Toxascaris Leonina,Disease or Syndrome
C0277154,Infection By Toxocara Canis,Disease or Syndrome
C0277207,Infection By Trichuris Vulpis,Disease or Syndrome
C0016053,Fibromyalgia,Disease or Syndrome
C0039651,Tetracyclines,Organic Chemical
C0023440,Acute Erythroblastic Leukemia,Neoplastic Process
C0023465,Acute Monocytic Leukemia,Neoplastic Process
C1328504,Hormone Refractory Prostate Cancer,Neoplastic Process
C0014849,Esophageal And Gastric Varices,Acquired Abnormality
C0042345,Varicosity,Disease or Syndrome
C0497369,Skin Infection Post-Traumatic,Disease or Syndrome
C0554628,Streptococcus Pyogenes Infection,Disease or Syndrome
C0026948,Mycosis Fungoides,Neoplastic Process
C0919267,Ovarian Neoplasm,Neoplastic Process
C0032463,Polycythemia Vera,Neoplastic Process
C2257188,Inosine Monophosphate Dehydrogenase Activity,Molecular Function
C0340530,Cardiac Transplant Rejection,Pathologic Function
C0400968,Liver Transplant Rejection,Pathologic Function
C0815080,Organ Rejection,Pathologic Function
C0018133,Graft-Vs-Host Disease,Disease or Syndrome
C0345468,Transplanted Organ Rejection,Pathologic Function
C1262019,Uraemic Pruritus,Pathologic Function
C0029100,Opioid Intoxication,Mental or Behavioral Dysfunction
C0003469,Anxiety Disorders,Mental or Behavioral Dysfunction
C0472713,Anemia Of Renal Disease,Disease or Syndrome
C0086899,Red Cell Mass Result,Laboratory or Test Result
C1565489,Renal Insufficiency,Disease or Syndrome
C0311364,Anemia Due To Decreased Red Cell Production,Disease or Syndrome
C0272375,Antithrombin Iii Deficiency,Disease or Syndrome
C0878787,Growth Failure,Disease or Syndrome
C0019243,Angioedemas; Hereditary,Disease or Syndrome
C0919890,Hyperfibrinogenemia,Finding
C0002893,Refractory Anemias,Disease or Syndrome
C0041408,Turner Syndrome,Congenital Abnormality
C3179300,Androgen Effect,Physiologic Function
C0235266,Eye Irritation,Finding
C0235267,Redness Of Eye,Sign or Symptom
C0475765,Swollen Nasal Mucosa (Finding),Finding
C0040460,Toothache,Sign or Symptom
C0018099,Gout,Disease or Syndrome
C0569839,Non-Depolarizing Muscle Relaxant Adverse Reaction,Finding
C0005687,Bladder Distention,Sign or Symptom
C2260693,Dopamine Beta-Hydroxylase Activity,Molecular Function
C2984247,Renin-Angiotensin Pathway,Functional Concept
C0028047,Nicotine Withdrawal,Mental or Behavioral Dysfunction
C0872355,Nicotine Craving,Individual Behavior
C0085134,Cessation Of Smoking,Individual Behavior
C0087169,Withdrawal Symptoms,Sign or Symptom
C1721090,Explosive Agents,Chemical Viewed Functionally
C2350502,Photochemical Processes,Natural Phenomenon or Process
C0264719,Acute Congestive Heart Failure,Disease or Syndrome
C0020650,Hypotension; Controlled,Therapeutic or Preventive Procedure
C0079027,Blood Loss; Surgical,Pathologic Function
C0021890,Intraoperative Complications,Pathologic Function
C0745176,Acute Hypotension,Finding
C0041755,Adverse Reaction To Drug,Injury or Poisoning
C0027651,Neoplasms,Neoplastic Process
C2678378,Hypotension; Severe,Finding
C0031511,Pheochromocytoma,Neoplastic Process
C0032371,Poliomyelitis,Disease or Syndrome
C0036690,Septicemia,Disease or Syndrome
C0039038,Sympathectomy,Therapeutic or Preventive Procedure
C1709787,Pyrogenic Reaction,Sign or Symptom
C0014437,Enzyme Reactivators,Pharmacologic Substance
C0155789,Bleeding Esophageal Varices,Disease or Syndrome
C0009324,Ulcerative Colitis,Disease or Syndrome
C0184567,Acute Onset Pain,Sign or Symptom
C2359472,Musculoskeletal Diseases Or Conditions,Disease or Syndrome
C0026858,Musculoskeletal Pain,Finding
C2258907,Neuraminidase Activity,Molecular Function
C0007384,Cataplexy,Disease or Syndrome
C0694563,Excessive Daytime Somnolence,Sign or Symptom
C0027404,Narcolepsy,Disease or Syndrome
C0152245,Extravasation Of Urine,Pathologic Function
C1389940,Bladder; Neurogenic; Reflex,Disease or Syndrome
C1261562,Detrusor Instability,Pathologic Function
C0268849,Overactive Detrusor,Disease or Syndrome
C0392115,Neurogenic Urinary Bladder; Uninhibited,Mental or Behavioral Dysfunction
C0080178,Spina Bifida,Congenital Abnormality
C0150045,Urge Incontinence,Sign or Symptom
C0460139,Pressure (Finding),Finding
C1306063,Acute Left Ventricular Failure,Disease or Syndrome
C0041228,African Trypanosomiasis,Disease or Syndrome
C0032305,Pneumonia; Pneumocystis Carinii,Disease or Syndrome
C2047537,Hypersecretory Gastropathy,Disease or Syndrome
C0043515,Zollinger-Ellison Syndrome,Disease or Syndrome
C0232569,Abnormal Gastric Acidity,Finding
C0009235,Coenzymes,Biologically Active Substance
C0013370,Amebic Colitis,Disease or Syndrome
C0860230,Amoebic Enteritis,Disease or Syndrome
C0019147,Hepatic Coma,Disease or Syndrome
C0235378,Hepatotoxicity,Injury or Poisoning
C1150636,Vascular Endothelial Growth Factor Receptor Activity,Molecular Function
C0302600,Angiogenic Process,Organ or Tissue Function
C0242383,Age Related Macular Degeneration,Disease or Syndrome
C1152810,Erythropoietin Receptor Activity,Molecular Function
C1561828,Anemia Of Chronic Kidney Disease,Disease or Syndrome
C1151778,Dihydrofolate Reductase Activity,Molecular Function
C1152278,Phosphoribosylglycinamide Formyltransferase Activity,Molecular Function
C1152250,Thymidylate Synthase Activity,Molecular Function
C1155074,Mast Cell Activation,Cell Function
C0019372,Herpesviridae Infections,Disease or Syndrome
C0008550,Chromatography,Laboratory Procedure
C0032285,Pneumonia,Disease or Syndrome
C2364318,Contamination Exposure,Phenomenon or Process
C0751850,Heavy Metal Poisoning; Nervous System,Injury or Poisoning
C2267180,Plutonium Chelating Activity [Moa],Molecular Function
C0008354,Cholera,Disease or Syndrome
C0473977,Local Anesthetic Agent Poisoning,Injury or Poisoning
C0025289,Meningitis,Disease or Syndrome
C0038220,Status Epilepticus,Disease or Syndrome
C0274892,Toxic Effect Of Strychnine,Injury or Poisoning
C0004745,Barbiturates,Pharmacologic Substance
C0232849,Bladder Pain,Sign or Symptom
C0282488,Interstitial Cystitis,Disease or Syndrome
C0016199,Flank Pain,Sign or Symptom
C0423701,Urinary Tract Pain,Sign or Symptom
C0849370,Blemishes,Sign or Symptom
C0542346,Pimples,Pathologic Function
C0151736,Accidental Injury,Injury or Poisoning
C1704330,Dental Diseases,Disease or Syndrome
C0026644,Mouth; Edentulous,Finding
C0024636,Malocclusion,Anatomical Abnormality
C0260662,Hearing Problem,Disease or Syndrome
C0079153,Hyperkeratosis; Epidermolytic,Congenital Abnormality
C0151740,Intracranial Hypertension,Disease or Syndrome
C0031099,Periodontitis,Disease or Syndrome
C0038362,Stomatitis,Disease or Syndrome
C1456868,Diabetic Foot Ulcer,Disease or Syndrome
C0423736,Scalding Pain On Urination,Sign or Symptom
C0728940,Excision,Therapeutic or Preventive Procedure
C0015376,Extravasation,Pathologic Function
C0520539,Hypertensive Episode,Disease or Syndrome
C0205908,Preoperative Procedure,Health Care Activity
C0151799,Skin Necrosis,Pathologic Function
C0005283,Beta Thalassemia,Disease or Syndrome
C0340858,Drug-Induced Hypotension,Pathologic Function
C0021400,Influenza,Disease or Syndrome
C0858259,Nasal Discomfort,Sign or Symptom
C0231919,Nasal Mucosa Dry,Finding
C0030590,Paroxysmal Supraventricular Tachycardia,Disease or Syndrome
C0152253,Posterior Synechiae,Disease or Syndrome
C0549265,Shock-Like Symptom,Finding
C0042164,Uveitis,Disease or Syndrome
C0948349,Respiratory Tract Congestion,Disease or Syndrome
C0149958,Complex Partial Seizures,Disease or Syndrome
C0014556,Epilepsy; Temporal Lobe,Disease or Syndrome
C0494475,Tonic - Clonic Seizures,Sign or Symptom
C0085682,Hypophosphatemia,Pathologic Function
C0022107,Irritable Mood,Finding
C0993595,Enema,Biomedical or Dental Material
C0304552,Saline Laxative,Pharmacologic Substance
C0026821,Muscle Cramp,Sign or Symptom
C0032166,Plasticizers,Biomedical or Dental Material
C0016184,Fixatives,Indicator; Reagent; or Diagnostic Aid
C0151500,Anticholinergic Syndrome,Injury or Poisoning
C0278996,Cancer Of Head And Neck,Neoplastic Process
C1384668,Radiotherapy (Finding),Finding
C0239940,Glycosylated Haemoglobin Increased,Finding
C1257987,Thiazolidinediones,Pharmacologic Substance
C0030842,Penicillins,Antibiotic
C0003952,Ascaridiasis,Disease or Syndrome
C0442841,Cellular Proliferative Disease,Disease or Syndrome
C0009373,Colonic Diseases,Disease or Syndrome
C0015404,Eye Infections; Bacterial,Disease or Syndrome
C0022014,Ion Exchange Resins,Pharmacologic Substance
C2266921,Potassium Exchange Resin [Epc],Pharmacologic Substance
C0175649,Prosthesis,Medical Device
C0006264,Bronchial Neoplasms,Neoplastic Process
C0014859,Esophageal Neoplasms,Neoplastic Process
C0151595,Digitalis Intoxication,Injury or Poisoning
C0849796,Ear Congestion,Sign or Symptom
C0032827,Potassium Deficiency,Disease or Syndrome
C0274704,Poisoning By Anticholinesterase Agents,Injury or Poisoning
C2082720,Poisoning By Nerve Agents,Injury or Poisoning
C0694564,Early Parkinson'S,Disease or Syndrome
C0042133,Uterine Fibroids,Neoplastic Process
C0005741,Blepharitis,Disease or Syndrome
C0036416,Scleritis,Disease or Syndrome
C0038323,Sterols,Steroid
C0024537,Malaria; Vivax,Disease or Syndrome
C0920877,Synergist,Organ or Tissue Function
C0153792,Hodgkin'S Disease Of Lymph Nodes Of Multiple Sites,Neoplastic Process
C0677954,Hodgkin'S Disease Stage Iv,Neoplastic Process
C0271291,Corneal Anesthesia,Disease or Syndrome
C0161002,Corneal Foreign Body (Disorder),Injury or Poisoning
C0579030,Disorder Of Anterior Chamber Of Eye,Disease or Syndrome
C0595921,Intraocular Pressure Disorder,Disease or Syndrome
C0009759,Conjunctival Diseases,Disease or Syndrome
C0040420,Tonometry,Diagnostic Procedure
C0235395,Fluid Loss,Pathologic Function
C2227339,Anergic On Exam,Finding
C0424092,Withdrawn,Finding
C0003290,Tricyclic Antidepressive Agents,Pharmacologic Substance
C0848633,Sinus Pressure,Sign or Symptom
C0037199,Sinusitis,Disease or Syndrome
C2235688,Swelling Of Nasal Vestibule,Finding
C0086227,Enterobiasis,Disease or Syndrome
C0277146,Infection By Parascaris Equorum,Disease or Syndrome
C0277227,Infection By Strongylus,Disease or Syndrome
C0277229,Infection By Strongylus Edentatus,Disease or Syndrome
C0277228,Infection By Strongylus Vulgaris,Disease or Syndrome
C0277122,Infection By Uncinaria Stenocephala,Disease or Syndrome
C0030100,Oxyuriasis,Disease or Syndrome
C0038459,Strongyle Infections; Equine,Disease or Syndrome
C0028887,Oesophagostomiasis,Disease or Syndrome
C0700323,Observation Of Neuromuscular Block,Disease or Syndrome
C0263661,Disorder Of Skeletal System,Disease or Syndrome
C1149142,Opioid Receptor Activity,Molecular Function
C1659436,Norepinephrine Uptake,Cell Function
C2265686,Hsp90 Protein Inhibitor Activity,Molecular Function
C2247629,Dna Polymerase Activity,Genetic Function
C1260918,Animal Coccidiosis,Disease or Syndrome
C0332448,Infiltration,Pathologic Function
C0002934,Local Anesthetics,Pharmacologic Substance
C0810300,Upper Gastrointestinal Disorders,Disease or Syndrome
C1150611,Jak Activity,Molecular Function
C2347023,Biological Absorption,Phenomenon or Process
C0302302,Closed Comedone,Pathologic Function
C0333128,Open Comedone,Finding
C0010046,Corn Of Toe,Acquired Abnormality
C0157726,Corns And Callus,Acquired Abnormality
C0870082,Hyperkeratosis,Disease or Syndrome
C0020757,Ichthyoses,Disease or Syndrome
C0263383,Keratosis Pilaris,Acquired Abnormality
C1401611,Keratosis; Palmaris And Plantaris,Congenital Abnormality
C0032027,Pityriasis Rubra Pilaris,Disease or Syndrome
C1856954,Plantar Hyperkeratosis,Finding
C0042548,Plantar Wart,Disease or Syndrome
C0240941,Pruritus Of Scalp,Sign or Symptom
C0406326,Scalp Psoriasis,Disease or Syndrome
C0376154,Skin Callus,Acquired Abnormality
C1848403,Thickened Palms And Soles,Finding
C0036271,Scalp Dermatoses,Disease or Syndrome
C0009938,Contusions,Injury or Poisoning
C0035436,Rheumatic Fever,Disease or Syndrome
C0497280,Sprain/Strain Of Joint Nos,Injury or Poisoning
C0031485,Phenylketonurias,Disease or Syndrome
C0751088,Dyskinesia; Medication-Induced,Disease or Syndrome
C0011900,Diagnosis,Finding
C1275395,Condition Appropriate For Anesthesia,Finding
C0847631,Dry Scalp,Finding
C0040250,Tinea Capitis,Disease or Syndrome
C0012238,Digestion,Organism Function
C0001655,Corticotropin,Pharmacologic Substance
C1850137,Elevated Serum Phosphorus,Finding
C1149863,Cyclic-Nucleotide Phosphodiesterase Activity,Molecular Function
C2936382,Hygroscopic Agents,Indicator; Reagent; or Diagnostic Aid
C0854358,Purulence,Clinical Attribute
C1707796,Dispersing Excipient,Biomedical or Dental Material
C0564567,Impulsive Character (Finding),Finding
C0085423,Gram-Negative Bacterial Infections,Disease or Syndrome
C0085426,Gram-Positive Bacterial Infections,Disease or Syndrome
C0018188,Granuloma,Pathologic Function
C0029076,Ophthalmia Neonatorum,Disease or Syndrome
C0007786,Brain Ischemia,Disease or Syndrome
C1149114,Endothelin Receptor Activity,Molecular Function
C0020625,Hyponatremia,Finding
C1522726,Intravenous Route Of Drug Administration,Functional Concept
C0429653,Dialysis Finding,Finding
C0013125,Intravenous Administration,Spatial Concept
C0022100,Irrigation,Therapeutic or Preventive Procedure
C0746759,Nasal Drainage,Sign or Symptom
C0593776,Pharmaceutical Solvent,Pharmacologic Substance
C0161734,Effects Of Low Temperature,Injury or Poisoning
C1567664,Warm Ischemia,Disease or Syndrome
C0010037,Corneal Edema,Disease or Syndrome
C0013238,Dry Eye Syndromes,Disease or Syndrome
C0036982,Shock; Hemorrhagic,Pathologic Function
C0043251,Wounds And Injuries,Injury or Poisoning
C1152737,Dopamine D4 Receptor Activity,Molecular Function
C1817907,T Cell Mediated Immunity,Organism Function
C1290884,Inflammatory Disorder,Disease or Syndrome
C1155046,T-Cell Proliferation,Cell Function
C0877225,Bone Density Decreased,Finding
C1518478,Nutraceuticals,Food
C0425440,Dietary Fat Intake,Finding
C2258380,Dihydropteroate Synthetase Activity,Molecular Function
C0948205,Enterobacter Infection,Disease or Syndrome
C0015403,Eye Infections,Disease or Syndrome
C0442886,Secondary Infections,Disease or Syndrome
C0032308,Staphylococcal Pneumonia,Disease or Syndrome
C0040592,Trachoma,Disease or Syndrome
C1141927,Wound Sepsis,Disease or Syndrome
C0041618,Ultrasonography,Diagnostic Procedure
C0268407,Senile Cardiac Amyloidosis,Disease or Syndrome
C0007412,Catecholamines,Pharmacologic Substance
C0086188,Drug Potentiation,Biologic Function
C1335729,Refractory Neoplasm,Neoplastic Process
C1153078,Channel Regulator Activity,Molecular Function
C0034606,Radionuclide Imaging,Diagnostic Procedure
C0006111,Brain Diseases,Disease or Syndrome
C1149149,Somatostatin Receptor Activity,Molecular Function
C0267792,Diseases Of The Liver And Biliary System,Disease or Syndrome
C0005940,Bone Diseases,Disease or Syndrome
C0040261,Onychomycosis,Disease or Syndrome
C1274469,Onychomycosis Of Fingernails,Disease or Syndrome
C1274470,Onychomycosis Of Toenails,Disease or Syndrome
C0040247,Tinea,Disease or Syndrome
C0311277,Obesity; Abdominal,Disease or Syndrome
C0010417,Cryptorchidism,Congenital Abnormality
C1371648,Decreased Gnrh Secretion,Organ or Tissue Function
C0271623,Hypogonadotropic Hypogonadism,Disease or Syndrome
C0549611,Hypothalmic/Pituitary,Disease or Syndrome
C0442857,Hypothalamic Injury,Injury or Poisoning
C0342384,Idiopathic Hypogonadotropic Hypogonadism,Pathologic Function
C1319065,Castrated Male,Finding
C0029191,Orchitis,Pathologic Function
C0948896,Primary Hypogonadism,Disease or Syndrome
C0151721,Testicular Hypogonadism,Disease or Syndrome
C0266427,Testicular Regression Syndrome,Congenital Abnormality
C1963961,Testosterone Deficiency,Disease or Syndrome
C2057574,Torsion Of Both Testes,Disease or Syndrome
C0395433,Removal Of Corneal Suture,Therapeutic or Preventive Procedure
C1112472,Aeromonas Hydrophila Infection,Disease or Syndrome
C0851848,Aeromonas Infections,Disease or Syndrome
C0348095,Bacterial Intestinal Infection; Unspecified,Disease or Syndrome
C0016154,Fish Diseases,Disease or Syndrome
C1096261,Flavobacterium Infection,Disease or Syndrome
C0553668,Labored Breathing,Sign or Symptom
C0029401,Osteitis Deformans,Disease or Syndrome
C0282588,Drug Resistance; Neoplasm,Organ or Tissue Function
C0149871,Deep Vein Thrombosis,Disease or Syndrome
C0037271,Skin Aging,Organ or Tissue Function
C0026838,Muscle Spasticity,Sign or Symptom
C0334664,Mast Cell Neoplasm,Neoplastic Process
C0740747,Acid Base Status,Finding
